Раздел;Блок;Код компетенции;Направление компетенции;Формулировка компетенции;Строка исходной матрицы
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-1;Основы теории вероятностей, математической статистики и теории информации;Способен применять современную теоретическую математику для разработки новых алгоритмов и формулирования перспективных задач ИИ;3
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-2;Байесовская статистика и моделирование;Способен применять байесовский подход для построения вероятностных моделей анализа неопределенности и создания адаптивных систем ИИ;4
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-3;Методы оптимизации;Способен применять современные методы оптимизации для обучения моделей машинного обучения, настройки гиперпараметров и решения задач искусственного интеллекта.;5
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-4;Статистические основы МО;Способен применять статистические методы для анализа данных, валидации моделей машинного обучения и проведения экспериментов в области ИИ.;6
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-5;Дополнительные главы математической теории ИИ;Способен применять продвинутые математические методы (теория графов, функциональный анализ, топология, теория категорий) для решения сложных задач ИИ и разработки новых алгоритмов;7
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-6;Математическая логика и логика принятия решений;Способен применять логический аппарат для формализации задач представления знаний, проектирования логических моделей и использования систем автоматического доказательства теорем.;8
Профессиональные (инструментальные) компетенции;Работа с данными;BD-1;Предварительный анализ данных;Способен осуществлять поиск, сбор, очистку и предварительный анализ данных;9
Профессиональные (инструментальные) компетенции;Работа с данными;BD-2;Понимание (интерпретация) данных;Способен определять требования к наборам данных для решения задач машинного обучения, проводить разметку и анализ наборов данных, оценивать качество данных, обеспечивать непрерывную интеграцию данных;10
Профессиональные (инструментальные) компетенции;Работа с данными;BD-3;Хранение данных;Способен организовывать хранение данных, выбирая адекватные технологические решения;11
Профессиональные (инструментальные) компетенции;Работа с данными;BD-4;Обработка больших данных;Способен применять различные модели и (или) технологии обработки больших данных;12
Профессиональные (инструментальные) компетенции;Работа с данными;BD-5;Дополнительные технологии организации инфраструктуры больших данных;Способен применять технологии организации инфраструктуры больших данных;13
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-2;Основы машинного обучения;Способен применять фундаментальные принципы и методы машинного обучения, включая подготовку данных, оценку качества моделей и работу с признаками;14
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-3;Методы классического машинного обучения с учителем;Способен применять классические алгоритмы машинного обучения с пониманием их математических основ и областей применения;15
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-4;Методы классического машинного обучения без учителя;Способен применять методы обучения без учителя для анализа данных и выявления скрытых закономерностей;16
